claims_verbatim,trump_stance
el pueblo unido jamas sera vencido!; si se puede!; stand up fight back; fight trumps agenda; support dont deport; the only aliens come from outer space; no more deportation;  mexico flag; the people united will never be defeated!;,Unclear
stop the musk trump coup; the only minorities destroying this country are billionaires; no fascists; boycott tesla,Anti-Trump
musk and trump enemies foreign and domestic; boycott the fascist billionaries / shut them down; usa flag; save our constitution,Unclear
stop the coup!; i love democracy; resist; stop the trumpster fire; congress: courage is contageous; end musk tech coup; stop the job-killing coup; deport the despots; don't let trump trash our planet; its feb 14th if you love america impeach president trumpmusk; stop the coup fight back; call it by its name stop the coup; love is resistance; pride flag; stop the billionaire coup,Anti-Trump
mr. trump letâs be clear! immigrants are welcome here!; no human is illegal; chinga la migra; love the stranger: papers or not; dinero para el pueblo; money for peopleâs needs not for the war machine; end the war in gaza and lebanon; hands off venezuela,Unclear
traitor racist unstable mean phony [spells trump]; trump poisoning the blood of our country; stop elon / this usa is not for sale; stop the fear; respect our existence or expect our resistance; stop racial profiling; america was built by immigrants; freedom stop fascism; we did not vote for musk,Unclear
trump flag; usa flag; legal immigration,Pro-Trump
trump putin 2024; eject elon; fight trump's fascist crusade,Unclear
"don't buy tesla; cut elon's funding / dump tesla; resist; usa flag; crash tesla; white supremacy has no place in america; democracy over dictators; anti-lies / anti-hate / anti-racism / anti-fascism / anti-trump; we didn't vote for musk; rise up organize and act; dogs against doge; dump trump / deport musk / resist fascism, racism, sexism; in musk we do not trust; grift; cut elon's funding / dump tesla; elon is a parasite on america; you are not president go away; neo-nazis love musk; save our national parks/rangers; stop elon and the felon; defund the musk coup; all new tesla model 44; keep your hands off of our democracy; stop evil elon; doge is the fraud; unelected con man; elon musk is not the 4th branch of government; bruh nobody voted for you [elon musk]; hate never made america great; talks like a nazi / salutes like a nazi / don't buy from nazis; swasticars to mars; don't buy swaticars; doge demented oligarch grifting everyone; first he came for the immigrants / you know how this ends; stop wood-chipping our government; the richest man is killing the poorest children [resist elon musk]; bad doge",Anti-Trump
trump! go trump!,Unclear
don't bite the hands that feed you; mexico flag; nobody is illegal on stolen land; fuck trump; fight ignorance not immigrants,Anti-Trump
"this isn't about politics, it's about humanity; bodily autonomy is a human right; the climate is changing why aren't we; immigrants make america great; respect existence or expect resistance; no hate no fear everyone is welcome here; ; no human is illegal; equal rights for all; donald trump has got to go!; afl-cio union flag; be kind; usa flag; pride flag; i will not go quietly back to the 1950's; not my president; pro-life is a lie; think while it is still legal; humana rights belong to everyone; fire president musk; dump trump not my president boot the fascists; mexico flag; trans people won't be erased; progress pride flag;",Anti-Trump
prez musk must go; congress stop the dismantling of our government; trump sold america / elon is not a king; defend our constitution and the rule of law,Anti-Trump
"trump & musk: lying, looting & laughing @ you; 47 is a felon; save our democracy; i want you to shut your mouth; dishonest overreaching greedy elitist; make no mistake we are the patriots; save our democracy; musk must go",Unclear
donald trump stole my job; americans wake up this is a coup; usa flag,Unclear
impeach trump again & again and again; usa flag; ukraine flag,Anti-Trump
follow the constitution; no kings no dictators; i oppose tyranny; musk sucks; immigration reform now; the right is the reich; democracy now; oust musk; show your true colors; usa flag; immigrants are welcome here; stop trump; get musk out of our gov't; stop the coup; no one elected elon,Anti-Trump
trump must go!; dump trump!; be the resistance comfort & stand with your community our hands are not tied; fight fascism; don't let democracy die;,Anti-Trump
dump trump; trump must go; abide no hatred; checks & balances no dictator; deport elon musk; i detest trump + deport elon,Anti-Trump
"rainbow pride flag; hey hey ho ho elon musk has got to go!; we're not going back; no one elected elon musk, he bought it arrest him; don't elon-gate the chaos; trump + musk must go; tax the rich; progress pride flag; usa flag; ban doge impeach elon; it's a coup; universal healthcare not corporate welfare, tax the rich; future voter; deport elon musk; we will not be scrubbed; quit playing doge-ball, elon; defund greed not schools; no liar for hire; pro america anti trump; we the people not we the billionaires; democracy not facism; make america go away; tax the rich; down w/ the king",Anti-Trump
dump trump / deport elon; no kings; vote in primaries; where the law ends tyranny begins; usa flag,Anti-Trump
"congress dont let him steal your job, too;  no king for america; abort elon; we can do it, defend life, liberty, and the pursuit of happiness; stop facism in america; oligarchs smell like farts; f'elon & felon; life, liberty and the pursuit of...not this; choose trump-musk or the constitution; stop the coup; hands off our rights;",Anti-Trump
save our democracy stop the trump-musk coup sos; govt by the rich for the rich; america...betrayed; we must defend the constitution; elon or us choose; resist persist; this is not a drill rise up; elon or us choose; no one elected us; trump is so weal he sold out america to his biggest donor; doge started as a joke & is still a joke. except it isn't funny; resist fear; usa flag; we must defend the constitution; support democracy; diversity equity inclusion: dei makes america great; a president should be for all people; fight truth decay,Anti-Trump
"elon musk is a nazi; what the musk; nobody voted for elon; stop the coup; we the people won't let them; trump + elon = fraud and abuse; sos schools, kids, climate, books, national parks, farms, libraries, women, equality, free speech, democracy, freedom; not my king stop the coup; call it a coup stop the steal; voluntary surrender of the public's power is how audocracies are built;",Anti-Trump
we won't be silenced; we are not incubators; who will protect the kids; love thy neighbor; girl power; i am somebody; women's rights are human rights; together we rise; f-elon and the felon; follow jesus not trump; will silence be golden when our freedom is gone; you know it's bad when the straight white men are marching too; only fearful leaders lead by fear; trump musk go; respect my existence or expect my resistance; love wins; trans folks won't be erased; fdt,Anti-Trump
no firefighters / no flagstaff / defend your forests; bad doge; fed workers stay strong; call your reps; save civil service; [smokey the bear] only you can protect forest fires; save the arts; fired = fires; support public land; support federal workers; trump you're fired; reseist tyranny; defend democracy; musk wants your $$ for your own use; defenders of democracy; federal workers keep our country working; there is no snow / who is going to take care of our national forests?; no kings on presidents day; protect my future; fascists; doge must go; end the abuse of power; never give up; truth matters;,Pro-Trump
resist; hate won't make us great; america has no kings; americans against oligarchy; not my president and neither is elon; trump not fit to rule; no king in america; not my president no kings in america; end voter suppression; not fit to rule impeach,Anti-Trump
"get rid of fraud and waste fire elon, nobody elected elon, delete musk, pro-america anti-trump flag, hey hey ho ho elon musk has got to go, morons are governing america, save our democracy, dump trump, resist, support ukraine not putin",Anti-Trump
"trump & musk: lying, looting & laughing @ you; 47 is a felon; save our democracy; i want you to shut your mouth; dishonest overreaching greedy elitist; make no mistake we are the patriots; save our democracy",Unclear
"americans against trumpism, elon was not elected, fight the coup, we will not be silenced, save our country",Anti-Trump
"musk must go, arrest donald trump, tax the rich, stop the coup, no kings no tyrants, gulf of mexico, stop the doge, protect our data, my body my choice, immigrants are welcome here, separate church and state",Unclear
not god; no one voted for musk; resist; stop this lawless administration; stand up 4 humanity; usa flag; dont allow chaos to reign; presidents day is canceled until we get real one; deport muskrat impeach trump; stop trump before he kills again; delete doge; lets go felon; honk to fire musk,Anti-Trump
where are our checks and balances?; the only minority destroying america are the billionaires; stop trump / no dictators; usa flag; [check] democracy / [x] monarchy; no kings; alaska needs noaa; who is safe?; what side of history will you be on?; where's dan / lisa / nick; what is necessary for evil to triumph?,Anti-Trump
make tulane a sanctuary campus; gaza is not for sale; immigrants are here to stay! donald trump go away!; when immigrants are under attack! what do we do? stand up fight back!,Pro-Trump
impeach ryan walters!; defend the constitution / we the people demand it; usa flag; dump trump; get your church out of my state,Anti-Trump
basic human empathy what a concept am i right; deport elon musk; we are the guardians of the constitution; congress where's your oversight; resist the doge bags; this episode of the handmaid's tale sucks; i hate crowds but i hate trump more; the climate can't wait; protect our freedom,Anti-Trump
trump and musk gotta go,Unclear
"where law ends tyranny begins, no king, stop fascism, stop the coup, stop musk, fire elon, no trump,",Anti-Trump
let's go democarcy; love trumps hate,Unclear
impeach elon; the earth is the mother of all people and all people should have equal rights; the emperor has no clothes; no $$$ felons or techbro kings; trans pride flag; usa flag; the whole world is watching; stop trump & musk's power grab; nobody voted for elon,Anti-Trump
human need not corp greed; you can only choose one / america or trump; [no] project 2025; protect the middle class / let's raise everyone up; progress pride flag; we did not elect musk!; democracy not dictatorship!,Unclear
usa flag; trans pride flag; rainbow pride flag; please keep caring; trump is not my president; got to go fascism has got to go; punching nazis is always cool; what is that god-awful wet doge smell,Anti-Trump
"stop musk; resist; we the people; upside down usa flag; we the people for real; if congress gets free lunches why can't kids; impeach trump; when injustice becomes law resistance becomes duty; future voter; why is a cheeto in the white house; screw trump + musk; power to the people; we the people do not fear, we stay hot for justice here!; not our king, where's congress' oversight; elon musk sucks @ video games; kleptocracy is bad;",Anti-Trump
hands off our data & democracy; he's not my president f**k this nazi billionaire; usa flag; mexico flag; trump is a traitor,Unclear
"resist; stop this lawless administration; stand up 4 humanity; resist, dump trump, impeach daca now; usa flag; not my president; abolish musk, save our schools, children, parks, healthcare, vets, arts, farms & humanity; pride flag; mexico flag; unity not division; not my president no one will turn us around; yes democracy, oligarchy no; se ve se siente la mujer estã¡ presente; if not now when, if not us who",Anti-Trump
"the reich stuff; want to save billions? fire musk; no kings; we're not going back!; hey hey, ho ho, donald trump has got to go!; nobody elected f-elon musk",Anti-Trump
"we have the power!; this is what democracy looks like!; dump trump!; hey hey, ho ho, donald trump has got to go!; no one elected musk, he's seized our data fight back; wwjd? not this; congress is supposed to defend the constitution not oligarchs. stop the felon & elon from destroying it; nazi elon get your dirty hands off our democracy; why didn't you do something? -future generations; impeach president musk; i have too many grievances to list on a sign protect democracy; people above profit; halt the coup; the truth will be our president; elon is not our king; stop project 2025; hate never made america great; stop the coup; resist now; i heart science; people above profit; trump and musk fired our disabled veterans at the va evil; not my president; support kids not billionaires; no oligarchy; preserve, protect, and defend the constitution of the united states; no human is illegal on stolen land; resist tyranny together; arrest the president...and trump; black lives still matter; elon + the felon are looting the country; lock up musk; help people don't hurt them boooo for elon musk; save our country support federal workers; no vaccine for a worm int eh brain vaccines save lives; undo the coup; deport donald; diversity is strength; tax the 1%; trump 2020 no more bullshit; dei blm usaid lgbtqia+ rights healthcare immigrants education human rights; super callous fragile racist sexist nazi potus; earth love community; ben cline you sold your soul sellout to musk and trump; protect our vote; will trade racists for refugees (without tariffs); no one elected elon musk; not even your wife likes you;  respect my existence or expect my resistance; diversity, equity, and inclusion are civil rights; tariffs hurt us stop job cuts; felon trump bad doge; my body my choice; reject the traitors; no sign is big enough to list all the reasons i'm here; staying silent in times of injustice is a privilege; immigrants are our neighbors and freinds trust is not; gulf of mexico; progress pride flag",Anti-Trump
who let the doge out?; love not hate makes america great; save our democracy; stop the coup; fire musk / impeach trump; wake up and smell the fascism; resist; they are lying / stop the billionaire coup,Anti-Trump
donald trump is a traitor!; who keeps us safe / we keep us safe!; dump trump; impeach trump; down with donald trump!,Anti-Trump
"defeat the trump agenda; filthy nazi scum; hate never made america great; love trumps hate; fuck trump and his supporters; america belongs to all of us; they're eating the checks they're eating the balances; save the bees plant more trees clean the seas punch nazis; pro america anti trump; hey hey ho ho elon musk has got to go; project 25 is our ruin; silence is not an option; nobody's free until everybody's free; resist; money for jobs and education, not mass deportation; no one's above the law, we the people; defund white supremacy; where law ends, tyranny begins; when tyranny becomes law rebellion becomes duty; upside down usa flag",Anti-Trump
"eat the rich; americans against oligarchy resist; trump + elon can oligargle deeznuts; it's time; if you're not angry then you're not paying attention; congress grow a spine; protect the constitution; musk: privatizing profits, socializing losses; pete hegseth is the real dei hire. drunk, entitled, and ignorant; project 2025=american nightmare; make facism wrong again; just say no doge; resist autocracy fire elon musk; democracy not oligarchy; hate will not make us great; protext veterans, federal workers, immigrants, public education, women, lgbtq, the constitution; no one voted for elon musk, racist, rapist, facist; 36% of eligible voters is not a mandate that menas 64% don't want you donald; we the people not elon musk; swamp monsters; 35000 lies; angry americans have toppled kings and presidents trump + musk are next; love is patient; kind; and never fails; no one elected musk; stop the coup; i bite racists; make america gay again; warning facism ahead; no king since 1783; resist resist persist repeat; dictator or democracy; no king in america; trump spent $215,000,000 on anti-trans ads for less than 1% of the population? not my president not my values not my voice; protect all kids' rights, health, education, future; wake up; all humans are equal; no human is illegal on stolen land; put down the crown, clown; support and defend the constitution; hey hey, ho ho, elon has got to go!; dump trump!; in the name of humanity we refuse to accept a facist america",Anti-Trump
"president elon musk, youâre fired; stop the trump-musk coup; not my president; no kings, no oligarchs, no doge; mexico flag; usa flag",Anti-Trump
the pilgrims were undocumented know your history; my dreams are bigger than your walls; brown and proud; no me quedarã© callada ni me dejarã© intimidar; nobody is illegal on stolen land; keep families together; don't bite the hands that feed you; mexicans make america great; viva mexico nobody's an immigrant on stolen land; mexico flag; we didn't cross the border your border crossed us; no human is illegal; we stand together to speak for those who can't #fucktrump,Pro-Trump
"they say cut back / we say fight!; boston higher ed fights back; sue the coup; save the us epa; hands off our healthcare, research, and jobs; usa flag; stop the billionaire takeover; this man is not our boss [elon musk]; workers fighting back for education; workers fighting back for our community; boston higher ed fights back; ohio does not claim jd; cuts kill; drs against trump",Anti-Trump
de-musk america; musk is a parasitic illegal immigrant; us not musk; fight for the people; save our services; hey hey / ho ho!; dump trump and elon musk; tesla funds fascists; we fight back!; usa flag,Anti-Trump
no attacks on immigrants / no troops at the border; fight trump's nightmare,Unclear
no cuts to vital services; dump trump; nobody elected elon musk; federal workers make america great; hands off my social security and medicare; no nazis; unite here,Anti-Trump
stauber is a follower not a leader; democracy not dictators; usa flag; honk for democracy; stauber wont defend democracy; start saving democracy / stop the fascism of trump musk usa; we need answers; musk vs us; pete be accountable you work for us; where is pete; elon musk is not my president; stauber is awol; together we resist; no trump no musk,Anti-Trump
stop donald trump!; raza si! migra no!; stop trump,Anti-Trump
impeach trump; stand / unite / fight; save the country / save civil service; usa flag; say no to doge; save democracy / down with tyranny / wake up congress; listen to the people not billionaires; 30% of fed workers are veterans,Anti-Trump
what has the trump-musk team done for u today?; democracy dies in silence; think,Unclear
no kkk no fascist usa no trump!,Anti-Trump
ukraine is not for sale; p.o.w's must come home; ukraine flag; trump is putin's puppet; coat of arms of ukraine flag; support ukraine; uchicago with ukraine,Pro-Trump
"ukraine is not for sale; why should we feel guilty for being attacked; [red hand print] stop putin; i stand with ukraine; pray for ukraine; ukraine flag; help ukraine; ukraine is our ally not bloody russia; if ukraine falls we all lose; trump, musk, vance are russian assets",Anti-Trump
no kkk no fascist usa no trump!; fuck ice; abolish ice; mexico flag; puerto rico flag; venezuela flag; peru flag,Anti-Trump
pro america / anti trump; protect social security / deport musk; protect democracy; fight / truth / decay; women's rights are human rights; protect social security;  in america we punch nazi's and overthrow kings; tr[hammer and sickle]ump making russia great again,Unclear
dump elon / stop the firings; fire elon not federal workers; trump's not a king / take back our country; oligarchy get out of the usa / no kings; i [heart] public lands; usa flag; save the union fire musk / stop the grift fire musk / no king no coup; stop firing us,Anti-Trump
"rest in peace, kehl; see you in court [gov. mills]; see you dirigo [gavel]; love is love; no king; we love our gov.; protect them trans pride flag; trump in court / 34 felonies [incomplete sign]; stop trump; thank you janet; lawless trump is not the law",Anti-Trump
ukraine flag; usa flag; canada flag; trump i voted for you don't let ukraine down; remember who the real enemy is; ukraine defending life and light / thank you for everyone who supports us; i stand with ukraine; you don't need to be ukrainian to support urkaine / you just need to be human; russia is killing my home; stop the war; don't betray ukraine; zelenskyy is a courageous leader / trump + putin [crossed over] = tyrants; we defend our freedom; putin is a war criminal; salava ukraini,Anti-Trump
living wages fair contract; we demand an all-career workforce; usps works for americans; trump hands off the people's postal service; good jobs = good service; i stand with postal workers; fight like hell!,Pro-Trump
who let the doge out; illegally fired fed; did anyone vote for elon; honk if you did not vote for elon musk; honk if you support social security; are you a trump voter with regrets? call congress stop the chaos and cruelty; stop the coup; stop the madness; we left the king behind in 1776; integrity; who elected elon musk to run the usa; bad doge; mu$k is firing hard working americans; ukraine did not start it; omg gop wtf; love your neighbor; no king; we the people resist rest repeat; hands off my social security i paid for that; musk voter honk; diversity equity and inclusion makes us stronger; no american fascism; for sale republicans,Pro-Trump
musk: chain saw & wrecking ball sen. collins: too little too late; men of quality do not fear equality; progress pride flag; save our democracy; depose agolf twitler; you voted for this; wake up and smell the fascism; see you in court; no king; maine deserves courage show some senator collins; impeach trump; senator collins why; no new jail!; invest in the community; people over cages; honk for human rights,Anti-Trump
do your job!; we will vote them out; resist; who is ron johnson working for; democracy dies in darkness; don't you dare slash medicare; save medicaid we all belong; save medicare; freedom vs fascism; step up or step down no cuts to medicaid; ss is ours; usa flag; save medicare; help stop trump & musk from shredding our constitution; stop the coup; r u pro-life? then medicaid matters; pick up your phone ron; hey hey ho ho ron johnson has got to go!,Anti-Trump
dei is here to stay! donald trump go away!; protect our education! stop the deportations!; no fear no hate! no ice at wayne state!,Unclear
"duke don't comply with trump; don't comply; science belongs to everyone; no ice on campus; duke duke don't comply, don't dismantle dei",Unclear
"hell no to nazis, aka maga; deport musk now / dethrone trump now; resist; deport nazis; put musk in the dusk; [no] elon; musk is the fox gaurding the henhouse; no 1 voted for musk; stop elon / not accountable / not transparent / not elected; honk for the rule of law; how many teslas can we dump in boston harbor; no more musk; keep my data private; honk if you want to deport musk; privacy not musk; save our democracy; don't testdrive fascism",Unclear
trump and rubio killing people with aids worldwide; stop the deadly global aid freeze; aids funding cuts kill,Unclear
diversity is beautiful; complacency is a plague; dei until i die; if youre not angry youre not paying attetnion; fund our national parks; we are diverse; i cant believe were fighting for this again; people over profit; reject hate embrace humanity; fuck trump; diversity benefits everyone; marshall for all means for all; dont eradicate inclusivity; stand up in solidarity; education cant exist without diversity of thought,Anti-Trump
the don made him an offer he could have refused / adams out; hochul grow a spine remove adams; adams out; no trump puppets running nyc; gov hochul fire mayor adams,Anti-Trump
stand with ukraine!; ukraine flag; stop russia; we stand with ukraine; trump + vance = shameful; you aren't crazy this isn't normal; the whole world is watching!; stop russia,Anti-Trump
democracy matters; hey hey ho ho president trump has got to go; usa flag; i stand with ukraine; not my president; trans rights are human rights!,Anti-Trump
usa flag; fuck elon; no oligarchs; no elon; musk is a douche; donât buy a swasticar; nazi; no dictators in the usa; musk is out of control; fuck maga; no more business as usual!; stop the coup!; nobody voted for elon musk!; musk is stealing from you; boycott tesla; nazi punk fuck off [elon musk raising his arm]; this is the immigrant who took your job [ elon musk raising his arm]; overthrow the shadow president; pull the plug on musk; this billionaire is detroying our country [elon musk raising his arm]; usa flag; i'm stealing from you [elon musk]; doge is a criminal enterprise; make no mistake this is a coup; presidents are not kinds [donald trump]; resist the musk-trump coup,Anti-Trump
i stand with ukraine; usa flag: a felon of 34 counts is no president; they're coming for your rights next; fight and pray; trump = putin,Anti-Trump
ukraine flag; arm ukraine now!; usa flag; stop trump and russia; coat of arms of ukraine flag: we support ukraine,Anti-Trump
doge is fraud; trump has been emuskulated; traitor trump; musk's rats stink; if there is so much fraud where are the arrests; felon musk; elon musk-go: tesla funds facism / musk must go; deport musk; make nazis afraid again,Unclear
vance is a traitor go ski in russia; democracy not facism; love heals us all; unite to fight racism and bigtory; usa flag; glory to ukraine; moms for a caring country; no kings; trump serves putin; nobody is above the law; stand with ukraine; ukraine flag; healthcare is a human right; take your hate out of our state,Pro-Trump
tax the 1 percent!; honk trump is embarassing; curb your doge; power to the people; no tax cuts for the super rich; brawlers for the [soviet symbol] working class;,Unclear
they were already understaffed save nps; only you can resist facist liars; bad doge; protect our parks; usa flag; planet profit; trump doesn't hike,Anti-Trump
usa flag; usa flag [upside down]; [donald trump mug shot crossed out]; protect our national parks; i love [heart] my ranger daughter; a nation that destroys its soil destroys itself,Unclear
impeach trump; usa flag; dismantle systems of oppressions; we've seen smarter cabninets at ikea; immigrants make america great; elon musk is a terrible president,Anti-Trump
ukraine flag; trump is a chump / i stand with ukraine,Unclear
do your job!; hate will not make us great; make america humane again; usa flag; boo!; make lying wrong again; compromise works / give it a try sometime; stop the musk trump coup; doge / department of greedy egos; f'elon & the felon,Anti-Trump
putin/trump vs. usa / claudia tenney which side are you on?,Unclear
public servants rock; deport musk; bring back respect for our public lands and public employees; support federal employees not billionaires; only you can dump trump; public lands need public servants,Anti-Trump
this is what democracy looks like!; no oligarch; trump is not my king; no more musk; our president is a russian asset / wake up rick; hey hey ho ho elon musk has got to go!; usa flag; deport musk; silence = compliance / speak out now; save democracy now; trump is not a king!; no fascists; stop putin's puppets; support ukraine not putin,Anti-Trump
trump is putin's puppet; protect veterans' benefits; keep your hands off our public lands,Unclear
zelensky is a leader / trump is a loser; lgbtqia+ equality; trump loves putin not usa; the free world needs a new leader; oh yes they have; stop project 2025; we will not go quietly / resist; no kings; this is treason; democracy not dictatorship; usa flag; ukraine flag; how dare you,Anti-Trump
we are the thunder of a growing storm!; hey hey ho ho donald trump has got to go!,Anti-Trump
"remove, reverse, reclaim, resist;  trump is a dickkktator; trans rights are human rights; the patriarchy has got to go",Anti-Trump
sos / save our sciences; this is a coup and the world is watching; end the trump stupidity; usa flag; pride flag; upside down usa flag; keep public lands in public hands putin is a war criminal; do not obey in advance; read the constitution â congress do your job; donât mess with our seniorsâ social security and medicaid; maga: megalomaniac autocrats grifting american people; no kings; ukraine flag; fascism thrives on fragile men; i stand with ukraine; trump is a bully; end the trump stupidity; #47 traitor; flush the orange turd; trump is a russian ass-hat; trump is a russian asset; no; i stand with ukraine; trans rights are human rights mind your own damn business; morons are governing america fdt; making america greatly ashamed; less trump more cowbell,Pro-Trump
where is your backbone; dump trump / be gone elon; save our democracy; no you've pissed off grandma; there's mean things happenin in this land,Anti-Trump
human rights belong to everyone; f*ck trump; usa flag; ukraine flag,Unclear
impeach trump and vance,Anti-Trump
[no] trump; stop tyrant trump / kingkrap; just say no to techno feudalism; checks and balances prevent tyranny; we rise by lifting others; ukraine flag; musk must go; the people make the power; just be kind,Anti-Trump
resist tyranny resist; usa flag; ukraine flag; canada flag; dump trump; elon musk is a nazi; nyet to putin; bad doge; don't let pres. musk steal my $ocial $ecurity; support ukraine;,Anti-Trump
"don's oppressive gestapo empire; defend women's reproductive rights; resist, unite;  trump is a traitor; diversity, equity, inclusion; ukraine flag; rainbow pride flag; i could sh*t a better president; save ukraine and our america; stop the coup",Anti-Trump
we the people have the power; jesus is my king not trump; there's no love like christian hate; say no to fascism; administration is lying trump is putin; upside down usa flag,Anti-Trump
fire musk; impeach trump/no kings/no kkk/no facist usa; get your filthy little orange hands off our democracy; no kings in usa; resist felon 47 is undermining our us constitution,Anti-Trump
eat the rich; ukraine flag; usa flag; dump trump; putin's puppets; remove the rogue president; it's almost too late for this; pride flag; fight oligarchy not each other; punch a nazi; i will not go quietly back into the 50s; trans rights are human rights; no kings in usa,Anti-Trump
"save our democracy; trump is not a king; musk out now; we resist; morons are governing america; stop musk, stop doge; trump is putin's puppet; super callous fragile racist sexist nazi potus; save democracy fire elon impeach the rest; trump is a traitor; pro-choice pro-love pro-science; usa flag; nobody voted for elon musk; presidents are not kings; 47 is a felon!; divided we fall united we stand!; ukraine flag; resist; trump is a traitor; save democracy fire elon impeach the rest",Anti-Trump
orange lies matter; resistance has become duty; tax the rich or eat the rich; i insist that you resist; resist tyranny; americans support ukraine; impeach pres musk; dump trump!,Anti-Trump
"no trump, no kkk, no fascist usa!; if you're not scared you're not paying attention; hands off social security we earned it; my outrage can't fit on this sign",Anti-Trump
love your neighbor; when injustice becomes law resistance becomes duty; veterans against trump; save our democracy,Anti-Trump
how's trump now; lock him up; impeach putin; resist; dump trump; pride flag; fund ukraine; usa flag; no to project 2025; trump is a russian ass et; it will get worse; defend democracy,Anti-Trump
don't tread on me; women for trump,Pro-Trump
the trumpocalypse is here; isee you ukraine; ukraine flag,Unclear
dump trump; abort the court; i hate crowds but this is bullsh*t; democracy not fascism; not my president and neither is trump; save our democracy dump trump deport musk; save our honor do not betray ukraine; defend democracy,Anti-Trump
no doge; impeach musk; medicaid = freedom; stand with ukraine; there is no planet b; stop firing my fellow veterans; down with all dictators; medicaid = freedom; there is no planet b; stand with ukraine; usa flag; america is not for sale; freedom not fascism; trump is unfit to lead stand up for mississippi; trump is  a traitor,Anti-Trump
are we great yet; trump is putin's puppet; usa flag,Unclear
diversity is you and me!; this is what democracy looks like!; trump and elon go away!; for i was a stranger and you welcomed me matthew 25:35; we support democracy; america is a no king's zone; support ukraine,Unclear
no musk; fire musk; trump and musk must go; deport musk; trump felon; usa flag; nobody elected musk; hands off our data,Unclear
ukraine flag; protect queer youth; stand with ukraine; support ukraine; protect soc sec; trump will steal social security,Pro-Trump
"no one voted for elon musk; not monarchy, not oligarchy, not a business; putin owns trump; defend democracy; fire elon musk; trump is chaos",Pro-Trump
ukraine flag; free ukraine; we stand with ukraine; trump is a traitor; russia is a terrorist state!; putin is a war criminal!,Pro-Trump
rainbow pride flag; usa flag; ukraine flag; beleive in ukraine; stop genocide in ukraine; trump traitor; neuter your doge; justice roberts is a pos; queers against nazis,Anti-Trump
usa flag; progress pride flag; ukraine flag; stop elon's hostile government takeover; save democracy; stop pretending your racism is patriotism fuck trump; stop elon musk; stop elon;s hostile government takeover; this sequel sucks; no kings here; no kings; rainbow pride flag,Anti-Trump
ukraine flag; usa flag; (f)elon musk; arrest musk [swastika in place of s in musk]; no [crown]; we the people will not be divided; when the leaders act like kids the kids become the leaders; upside down usa flag; canada flag; fire trump and vance; delay deny depose; hate never made any nation great; no kings; we the people; democracy not dictator,Unclear
patriotic americans stand with ukraine; resist fascism; zelenskyy is a hero trump & vance are zeros; stop felon from destroying us: of the people by the people for the people all the people,Anti-Trump
slava ukraini; dump trump; you can't fix stupid but you can vote them out; ukraine flag; vets against trump; silence is complicity; united or die; not my president / not my voice / not my values / not my beliefs; fire trump-vance-musk / support federal workers; i stand with true heroes ukraine & zelensky; impeach trump; depose project 2025 scum; defend democracy now; they're eating the checks / they're eating the balances; they're eating our democracy / it is going to be up to us to protect and defend our freedoms / stand united; rainbow pride flag; usa flag,Anti-Trump
"holy fascism batman/stop the coup; impeach putin's puppet; if you are not angry you are not paying attention; is he dead yet; it's time to use our outside voices; tell me what democracy looks like/this is what democracy looks like!; hey hey ho ho trump and musk have got to go!; the people united will never be defeated!; we can't let our country fail, put elon in jail!; we need a president not a dictator; hands off our social securty medicare & medicaid; billionaires only serve themselves; usa flag; ukraine flag; remove trump fire musk; united we stand divided we fall; pride flag; trump/mu$k say nyet: nyet freedom nyet constitution nyet vaccines + nih nyet ukraine + eu; upside down usa flag; impeach; musk stinks; we need a president not a dictator; death to doge",Anti-Trump
no more musk / save our democracy / no to billionaires; no coup; putin is not our friend; people over profit; restore democracy; respect my existence or expect my resistence; ukraine flag; rise against trump,Anti-Trump
usa flag; trump fears your freedom; deport first lady elon musk,Unclear
"stop the coup; stand with ukraine; trump is a traitor; resist fascism, defend democracy; usa flag",Anti-Trump
upside down usa flag; the eyes of the world are upon you; respect our constitution/no kings/justice; slava ukraine/who's really running this show? trump musk or putin; abortion is health care; a woman's place is in the resistance; progress pride flag; weak men give the nazi salute gross; no kings; stay in community;impeach trump; we stand with ukraine; fascism is capitalism in decay; your silence will not protect you; democracy or revolution; support ukraine; trump 2.0 is a dictatorship,Anti-Trump
"hands off our social security; fight the tyrranical oligarchy of the 1%; pro-america, anti-trump; not for sale us constitution; upside down usa flag; kkkomplicit kkkompromised kkkorrupt gop; defend our democracy; hate ruins everything; fascism in america won't fly; this is a coup; save our democracy; the muskrat is an invasive species",Leaning Pro-Trump
trump is not a king; no musk; peace flag; trans rights are human rights; power to the people,Unclear
"f*ck trump, send comrade trump back to russia, stop the coup; zelenskyy equals hero, trump equals zero; traitor; we stand with ukraine, no kings, defend democracy; down with dictator don; bad doge; angrey women change the world",Anti-Trump
treat all lovingly; its all about greed; dont repeat history teach it; f*ck nazis; save democracy not our dictator; stand with ukraine; fight for freedom; down with the turd reich; dump trump; ukraine flag; support civil rights support honor support ukraine; save ukraine; musk is stealing your money and privacy; democracy not dictatorship; it was a meeting between a man with a suit and a suit without a man,Anti-Trump
"impeach, indict, imprison; no fascists, no oligarchs, no trump; insist, resist, persist; human need not corporate greed",Anti-Trump
ukraine flag; usa flag; we stand united; impeach trump / disband doge / revoke all eos / we will fight fascism; this is a coup; trump and musk are gay for putin; trump is a russian asset / ukraine is our real ally,Anti-Trump
